pair_id,feature_index
1983&8418,0
3715&7533,1
8376&338,2
8376&243,3
8461&338,4
8461&243,5
8374&338,6
8374&243,7
6947&243,8
342403&338,9
342403&243,10
21510350&243,11
980&338,12
980&243,13
980&444539,14
178&243,15
2331&7420,16
2331&135,17
2331&243,18
2331&445858,19
8651&243,20
243&338,21
64685&338,22
444539&243,23
969516&338,24
969516&135,25
969516&445858,26
3282&7420,27
70726&338,28
70726&7420,29
70726&243,30
3715&6844,31
3715&3469,32
3715&338,33
3715&135,34
3715&243,35
10935&338,36
10935&7420,37
10935&243,38
867&338,39
867&243,40
1254&338,41
931&243,42
971&243,43
995&338,44
995&243,45
995&7420,46
995&444539,47
999&243,48
6809&243,49
4843&9338,50
8955&3469,51
8955&16790,52
8955&7104,53
5147&7420,54
1110&243,55
11439&338,56
11439&7420,57
11439&243,58
1176&243,59
6989&3676,60
8400&5054,61
159055&11137,62
5702160&5143,63
969516&444305,64
159055&980,65
1183&7005,66
10241&6854,67
8663&7935,68
2519&5340,69
159055&243,70
3715&971,71
7005&6946,72
74404&3033,73
936&8663,74
798&7224,75
7005&1176,76
5702160&936,77
798&936,78
969516&936,79
6210&3033,80
1727&243,81
3715&9810996,82
2331&7814,83
1183&8663,84
11568&5054,85
5757&7005,86
2331&11137,87
7468&980,88
2331&8374,89
6854&8461,90
6854&6947,91
444972&3715,92
7103&6946,93
6854&1493,94
936&1983,95
8663&6946,96
11107&8036,97
1048&3033,98
2206&4754,99
1983&2519,100
1183&300,101
289&9015,102
7243&2331,103
6854&7452,104
1047&15070,105
101&8663,106
1047&936,107
6854&7492,108
7470&6597,109
8441&243,110
5994&2153,111
2331&7935,112
999&6597,113
7478&135,114
243&8640,115
5757&7808,116
7103&7423,117
980&7475,118
5757&8663,119
3715&8468,120
14296&7804,121
7103&7475,122
7108&12749,123
13651&12208,124
338&135,125
978&135,126
13651&7804,127
65052&2244,128
67519&9257,129
1983&403,130
11107&7804,131
9261&12208,132
26731&7804,133
9261&7804,134
7433&14332,135
26731&12208,136
338&7473,137
7057&6947,138
978&3715,139
7468&8400,140
7806&8209,141
936&6946,142
7057&8461,143
14332&978,144
8497&6941,145
8651&7423,146
67516&67519,147
7057&11813,148
5757&11397,149
12062&978,150
7433&7478,151
338&6944,152
7684&8443,153
338&7420,154
8640&6947,155
2244&1983,156
5994&7961,157
159055&931,158
6946&978,159
39912&6989,160
1048&9257,161
7243&7814,162
101&980,163
7017&7475,164
