mol1,mol2,label,pair_id,pair_id_clean,combined_text,is_missing_text,feature_index
COc1nc(OC)c(nc1N(=O)=O)N(=O)=O,O=N(=O)N1C2C3N(C1C1N(C(C(N3N(=O)=O)N1N(=O)=O)N2N(=O)=O)N(=O)=O)N(=O)=O,1,BIZYUH,BIZYUH,"结论: Yes. 关键特征: - Significant difference in molecular symmetry and crystal packing efficiency between the two components; - Complementary intermolecular interaction potential (e.g., hydrogen bond acceptors on both molecules with no donors, but strong dipole–dipole and π–π stacking capabilities); - Substantial disparity in melting points and thermal stability profiles, favoring eutectic formation over solid solution behavior. 详细分析: Conclusion: Yes\n\nLikelihood: Medium\n\nKey Characteristics:\n- Significant difference in molecular symmetry and crystal packing efficiency between the two components  \n- Complementary intermolecular interaction potential (e.g., hydrogen bond acceptors on both molecules with no donors, but strong dipole–dipole and π–π stacking capabilities)  \n- Substantial disparity in melting points and thermal stability profiles, favoring eutectic formation over solid solution behavior  \n\nDetailed Analysi",False,0
O=C=O,O=N(=O)N1C2C3N(C1C1N(C(C(N3N(=O)=O)N1N(=O)=O)N2N(=O)=O)N(=O)=O)N(=O)=O,1,OLADAH,OLADAH,"结论: No. 关键特征: - Significant disparity in molecular polarity and intermolecular forces; - Extremely different melting points and thermal stabilities; - Incompatible crystal lattice structures and packing motifs. 详细分析: Conclusion: No\n\nLikelihood: Low\n\nKey Characteristics:\n- Significant disparity in molecular polarity and intermolecular forces  \n- Extremely different melting points and thermal stabilities  \n- Incompatible crystal lattice structures and packing motifs  \n\nDetailed Analysis:  \nCarbon dioxide (CO₂) is a small, linear, nonpolar molecule that exists as a gas at ambient conditions and sublimes at −78.5 °C under atmospheric pressure. It lacks permanent dipole moments and interacts primarily t",False,1
CN1C=CNC1=S,O=N(=O)N1C2C3N(C4C1N(C(C(N2N(=O)=O)N3N(=O)=O)N4N(=O)=O)N(=O)=O)N(=O)=O,1,JOCSEC,JOCSEC,"结论: Yes. 关键特征: - Significant difference in molecular polarity and hydrogen-bonding capability between components; - Complementary intermolecular interactions (e.g., N–H···S, C=O/N–O···H–N) enabling stable co-crystal or eutectic formation; - Large disparity in melting points and thermal stabilities, typical of energetic–pharmaceutical hybrid systems. 详细分析: Conclusion: Yes\n\nLikelihood: Medium\n\nKey Characteristics:  \n- Significant difference in molecular polarity and hydrogen-bonding capability between components  \n- Complementary intermolecular interactions (e.g., N–H···S, C=O/N–O···H–N) enabling stable co-crystal or eutectic formation  \n- Large disparity in melting points and thermal stabilities, typical of energetic–pharmaceutical hybrid systems  \n\nDetailed Analysis:  \n3-Methyl-1H-imidazole-2-thione (C₄H₆N₂S) is a heterocyclic thione wi",False,2
[O-][N+]1=C2C3=NON=C3OC3=NON=C3C2=NO1,O=N(=O)N1C2C3N(C1C1N(C(C(N3N(=O)=O)N1N(=O)=O)N2N(=O)=O)N(=O)=O)N(=O)=O,1,JAQXUX,JAQXUX,"结论: Yes. 关键特征: - Significant difference in molecular symmetry and crystal packing tendencies between the two compounds; - Complementary hydrogen-bonding or dipole–dipole interaction potential due to contrasting functional groups (charged azonia/oxide vs. nitro groups); - Substantial disparity in melting points likely enabling depression of the mixture’s solidus temperature. 详细分析: Conclusion: Yes\n\nLikelihood: Medium\n\nKey Characteristics:\n- Significant difference in molecular symmetry and crystal packing tendencies between the two compounds  \n- Complementary hydrogen-bonding or dipole–dipole interaction potential due to contrasting functional groups (charged azonia/oxide vs. nitro groups)  \n- Substantial disparity in melting points likely enabling depression of the mixture’s solidus temperature  \n\nDetailed Analysis:  \nThe first compound, 3-oxido-4,9,12,15-tetraox",False,3
Cc1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O,Nc1ccccc1C(O)=O,1,URILUD,URILUD,"结论: Yes. 关键特征: - Formation of a low-melting physical mixture distinct from either pure component; - Absence of strong covalent or ionic bonding—interaction primarily driven by intermolecular forces (e.g., hydrogen bonding, π–π stacking, dipole–dipole); - Composition-dependent melting point minimum observable on a binary phase diagram. 详细分析: Conclusion: Yes\n\nLikelihood: Medium\n\nKey Characteristics:\n- Formation of a low-melting physical mixture distinct from either pure component  \n- Absence of strong covalent or ionic bonding—interaction primarily driven by intermolecular forces (e.g., hydrogen bonding, π–π stacking, dipole–dipole)  \n- Composition-dependent melting point minimum observable on a binary phase diagram  \n\nDetailed Analysis:  \n2-Methyl-1,3,5-trinitrobenzene (also known as trinitrotoluene analog with methyl at p",False,4
O1N=C2OC3=NON=C3C3=NON=C3C2=N1,O=N(=O)N1C2C3N(C1C1N(C(C(N3N(=O)=O)N1N(=O)=O)N2N(=O)=O)N(=O)=O)N(=O)=O,1,JAQXOR,JAQXOR,"结论: No. 关键特征: - Significant disparity in molecular symmetry and crystal packing motifs; - Large difference in intermolecular interaction profiles (hydrogen bonding vs. dipole–dipole/ionic character); - Incompatible melting behaviors due to vastly different thermal stabilities. 详细分析: Conclusion: No\n\nLikelihood: Low\n\nKey Characteristics:\n- Significant disparity in molecular symmetry and crystal packing motifs  \n- Large difference in intermolecular interaction profiles (hydrogen bonding vs. dipole–dipole/ionic character)  \n- Incompatible melting behaviors due to vastly different thermal stabilities  \n\nDetailed Analysis:  \nThe first compound, 4,9,12,15-tetraoxa-3,5,8,10,14,16-hexazatetracyclo[11.3.0.0²,⁶.0⁷,¹¹]hexadeca-1(16),2,5,7,10,13-hexaene, is a highly unsaturate",False,5
Cc1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O,Nc1ccc(cc1)C(O)=O,1,URILIR,URILIR,"结论: Yes. 关键特征: - Formation driven by complementary intermolecular interactions (e.g., hydrogen bonding between –NH₂/–COOH of 4-aminobenzoic acid and nitro groups of 2-methyl-1,3,5-trinitrobenzene); - Melting point depression relative to the individual components, with a distinct eutectic composition exhibiting a sharp melting event; - Likely partial miscibility in the solid state, resulting in a simple eutectic phase diagram without compound formation. 详细分析: Conclusion: Yes\n\nLikelihood: Medium\n\nKey Characteristics:  \n- Formation driven by complementary intermolecular interactions (e.g., hydrogen bonding between –NH₂/–COOH of 4-aminobenzoic acid and nitro groups of 2-methyl-1,3,5-trinitrobenzene)  \n- Melting point depression relative to the individual components, with a distinct eutectic composition exhibiting a sharp melting event  \n- Likely partial miscibility in the solid state, resulting in a simple eutectic phase diagram without compound ",False,6
c1ccc(cc1)N=Nc1ccccc1,O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O,1,ABTNBA01,ABTNBA01,"结论: Yes. 关键特征: - Significant difference in melting points between the two components (diphenyldiazene ~60–70 °C; 1,3,5-trinitrobenzene ~122 °C), favoring eutectic formation.; - Complementary intermolecular interactions: electron-rich diphenyldiazene (π-donor) and electron-deficient 1,3,5-trinitrobenzene (π-acceptor) enable charge-transfer complexation that can stabilize a eutectic liquid phase.; - Immiscibility or limited solid-state solubility, which is typical for aromatic donor–acceptor pairs and promotes distinct crystalline phases that melt congruently at a lower combined temperature.. 详细分析: Conclusion: Yes\n\nLikelihood: High\n\nKey Characteristics:\n- Significant difference in melting points between the two components (diphenyldiazene ~60–70 °C; 1,3,5-trinitrobenzene ~122 °C), favoring eutectic formation.\n- Complementary intermolecular interactions: electron-rich diphenyldiazene (π-donor) and electron-deficient 1,3,5-trinitrobenzene (π-acceptor) enable charge-transfer complexation that can stabilize a eutectic liquid phase.\n- Immiscibility or limited solid-state solubility, whic",False,7
c1ccc2c(c1)ccc1ccc3ccc4ccc5ccccc5c4c3c21,O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O,1,ABUNIU,ABUNIU,"结论: Yes. 关键特征: - Formation of a low-melting-point mixture relative to the individual melting points of hexahelicene and 1,3,5-trinitrobenzene; - Likely driven by complementary intermolecular interactions (e.g., π–π stacking between electron-rich helicene and electron-deficient trinitrobenzene); - Homogeneous solid solution or phase-separated crystalline domains depending on composition and cooling rate. 详细分析: Conclusion: Yes\n\nLikelihood: Medium\n\nKey Characteristics:\n- Formation of a low-melting-point mixture relative to the individual melting points of hexahelicene and 1,3,5-trinitrobenzene  \n- Likely driven by complementary intermolecular interactions (e.g., π–π stacking between electron-rich helicene and electron-deficient trinitrobenzene)  \n- Homogeneous solid solution or phase-separated crystalline domains depending on composition and cooling rate  \n\nDetailed Analysis:  \nHexahelicene is",False,8
Nc1ncccc1N(=O)=O,Nc1ncc(cn1)N(=O)=O,1,AJAKOL,AJAKOL,"结论: Yes. 关键特征: - Formation of a low-melting physical mixture with a distinct eutectic composition; - Mutual solubility in the liquid phase but limited solid-state miscibility due to structural differences; - Enhanced dissolution rate compared to individual components, potentially improving bioavailability. 详细分析: Conclusion: Yes\n\nLikelihood: Medium\n\nKey Characteristics:\n- Formation of a low-melting physical mixture with a distinct eutectic composition\n- Mutual solubility in the liquid phase but limited solid-state miscibility due to structural differences\n- Enhanced dissolution rate compared to individual components, potentially improving bioavailability\n\nDetailed Analysis:\n3-Nitropyridin-2-amine and 5-nitropyrimidin-2-amine are both nitrogen-rich heterocyclic compounds bearing an electron-with",False,9
